Country Code,Countries/territories,Region,Year,Population group selected,Population analysed,% pop analysed of tot country pop,Population in Phase 3 or above #,Population in Phase 3 or above %,Population in Phase 1 #,Population in Phase 1 %,Population in Phase 2 #,Population in Phase 2 %,Population in Phase 3 #,Population in Phase 3 %,Population in Phase 4 #,Population in Phase 4 %,Population in Phase 5 #,Population in Phase 5 %,Major Food Crisis,Primary driver,Secondary driver,Tertiary driver,Total country population,Total country GDP (US$),GDP per capita (US$)
DJI,Djibouti,EAST AFRICA,2016,Whole country,900000.0,1.0,196910.0,0.2187888888888889,merged with Phase 2 ,,703090.0,0.7812111111111111,,,,,,,Y,Economic shocks,,,1037653.0,2604955228.70117,2510.4300076241
DMA,Dominica,LAC,2016,,,,,,,,,,,,,,,,,,,,69606.0,612711111.111111,8802.56172041363
DOM,Dominican Republic,LAC,2016,,,,,,,,,,,,,,,,,,,,10551430.0,75552902635.7075,7160.44200982307
DZA,Algeria,MENA,2016,,,,,,,,,,,,,,,,,,,,40850721.0,180763839522.151,4424.98529027556
ECU,Ecuador,LAC,2016,,,,,,,,,,,,,,,,,,,,16505139.0,97671433000.0,5917.63771271481
ECU,Ecuador - migrants,LAC,2016,,,,,,,,,,,,,,,,,,,,16505139.0,97671433000.0,5917.63771271481
EGY,"Egypt, Arab Rep.",MENA,2016,Refugees,,,,,,,,,,,,,,,,,,,101644589.0,332441717791.411,3270.6287768197
ERI,Eritrea,EAST AFRICA,2016,Whole country,,,,,,,,,,,,,,,,,,,3124698.0,,
ETH,Ethiopia,EAST AFRICA,2016,Whole country,102900000.0,1.0,9700000.0,0.09426627793974733,85200000,0.8279883381924198,8000000.0,0.07774538386783285,,,,,,,Y,Weather extremes,,,106718162.0,74296766562.127,696.196084806324
FJI,Fiji,ASIA,2016,,,,,,,,,,,,,,,,,,,,919166.0,4930213644.36653,5363.79026679243
FSM,"Micronesia, Fed. Sts.",ASIA,2016,,,,,,,,,,,,,,,,,,,,109075.0,325000000.0,2979.60119184048
GAB,Gabon,CS AFRICA,2016,,,,,,,,,,,,,,,,,,,,2100306.0,14023890265.3665,6677.07003901644
GEO,Georgia,MENA,2016,,,,,,,,,,,,,,,,,,,,3727505.0,15444548901.9637,4143.40125686315
GHA,Ghana,WEST AFRICA,2016,,,,,,,,,,,,,,,,,,,,29356742.0,56144179397.8516,1912.47991339951
GIN,Guinea,WEST AFRICA,2016,Whole country,8861680.0,0.7427451080313242,90707.35,0.010235908992425815,7337781.69,0.8280350554296703,1433190.9599999997,0.16172903557790394,90707.35,0.010235908992425815,0.0,0.0,0.0,0.0,N,Economic shocks,,,12073030.0,8595955222.49719,711.996509782316
GMB,Gambia,WEST AFRICA,2016,Whole country,1920098.0,0.9416861206473761,64287.149999999994,0.033481181689684586,1464810.19,0.7628830351367482,391000.66000000003,0.2036357831735672,64287.149999999994,0.033481181689684586,0.0,0.0,0.0,0.0,N,Economic shocks,,,2283769.0,1484578885.97132,650.056501323611
GNB,Guinea-Bissau,WEST AFRICA,2016,Whole country,1142909.0,0.61,66203.0,0.057924996653276856,821057,0.718392277950388,255649.0,0.22368272539633513,66203.0,0.057924996653276856,0.0,0.0,0.0,0.0,N,Economic shocks,,,1831893.0,1245074264.10396,679.665386626818
GNQ,Equatorial Guinea,CS AFRICA,2016,,,,,,,,,,,,,,,,,,,,1508186.0,11240808847.8878,7453.19797948517
GRD,Grenada,LAC,2016,,,,,,,,,,,,,,,,,,,,115130.0,1061640740.74074,9221.23461079424
GTM,Guatemala,LAC,2016,Whole country,16300000.0,0.98,1500000.0,0.09202453987730061,14500000,0.8895705521472392,300000.0,0.018404907975460124,,,,,,,N,Weather extremes,,,16268760.0,66053403363.7384,4060.13754974186
GUY,Guyana,LAC,2016,,,,,,,,,,,,,,,,,,,,763548.0,4482697336.56174,5870.87823759835
HND,Honduras,LAC,2016,Whole country,4500000.0,0.52,100000.0,0.022222222222222223,3700000,0.8222222222222222,700000.0,0.15555555555555556,,,,,,,N,Weather extremes,,,9412380.0,21717604952.1835,2307.34468351082
HTI,Haiti,LAC,2016,Whole country,10300000.0,0.95,1500000.0,0.14563106796116504,8200000,0.7961165048543689,600000.0,0.05825242718446602,,,,,,,Y,Weather extremes,,,10671457.0,14069277526.2278,1318.40268167953
IDN,Indonesia,ASIA,2016,,,,,,,,,,,,,,,,,,,,264627418.0,931877364037.698,3521.46943457574
IND,India,ASIA,2016,,,,,,,,,,,,,,,,,,,,1343944296.0,2294796885663.16,1707.50892912243
IRN,"Iran, Islamic Rep.",MENA,2016,,,,,,,,,,,,,,,,,,,,83812228.0,459042684192.698,5477.03712389913
IRQ,Iraq,MENA,2016,Whole country,36000000.0,1.0,1500000.0,0.041666666666666664,33600000,0.9333333333333333,900000.0,0.025,,,,,,,Y,Conflict/insecurity,,,38469627.0,166743557747.671,4334.42096404188
JAM,Jamaica,LAC,2016,,,,,,,,,,,,,,,,,,,,2809915.0,14077096676.6213,5009.79448724295
JOR,Jordan,MENA,2016,Refugees,,,,,,,,,,,,,,,,,,,10006367.0,39892551126.7606,3986.71677010853
KAZ,Kazakhstan,ASIA,2016,,,,,,,,,,,,,,,,,,,,18363600.0,137278320084.171,7475.56688689424
KEN,Kenya,EAST AFRICA,2016,Whole country,11123392.0,0.24,1254600.0,0.11,merged with Phase 2 ,,9868792.0,0.8872106637975179,,,,,,,N,Weather extremes,,,48139687.0,74815144163.8931,1554.12610314423
KGZ,Kyrgyzstan,ASIA,2016,Whole country,,,,,,,,,,,,,,,,,,,6175338.0,6813095379.1187,1103.27489428412
KHM,Cambodia,ASIA,2016,,,,,,,,,,,,,,,,,,,,15852803.0,26556545153.3573,1675.19555711109
KIR,Kiribati,ASIA,2016,,,,,,,,,,,,,,,,,,,,118478.0,206467818.503227,1742.66799324117
LAO,Lao People's Democratic Republic,ASIA,2016,,,,,,,,,,,,,,,,,,,,6908802.0,15912501722.6143,2303.22156035363
LBN,Lebanon ,MENA,2016,Refugees,,,,,,,,,,,,,,,,,,,6323060.0,51147308774.1294,8089.012088155
LBR,Liberia,WEST AFRICA,2016,Whole country,4197432.0,0.91,52960.0,0.012617238349543244,3373391,0.8036797260801366,769845.0,0.18340856981125603,51426.0,0.012251776800672411,1534.0,0.0003654615488708334,0.0,0.0,N,Economic shocks,,,4755608.0,3398419600.0,714.613063145659
LBY,Libya,MENA,2016,Whole country,6400000.0,1.0,363500.0,0.056796875,5036500,0.786953125,1000000.0,0.15625,,,,,,,N,Conflict/insecurity,,,6632126.0,49912073701.298,7525.80299308216
LCA,Saint Lucia,LAC,2016,,,,,,,,,,,,,,,,,,,,175646.0,1868544444.44444,10638.1269396653
LKA,Sri Lanka,ASIA,2016,Whole country,,,,,,,,,,,,,,,,,,,21209000.0,88000211171.5956,4149.19190775593
LSO,Lesotho,CS AFRICA,2016,Whole country,1412131.0,0.73,510257.0,0.36133828943632,429958,0.3044745848650019,470253.0,0.3330094729171727,357937.0,0.2534729426660841,152320.0,0.1078653467702359,0.0,0.0,Y,Weather extremes,,,2130422.0,2114426452.2019,992.491840678465
MAR,Morocco,MENA,2016,,,,,,,,,,,,,,,,,,,,35023457.0,111572947004.917,3140.85546875
MDA,Moldova,EU,2016,,,,,,,,,,,,,,,,,,,,2803186.0,7980917075.7748,2847.08794770479
MDG,Madagascar,CS AFRICA,2016,Whole country,1631545.0,0.07,848659.0,0.5201566613240823,254388,0.15591846991655148,528498.0,0.3239248687593661,515316.0,0.31584541033192465,333343.0,0.20431125099215774,0.0,0.0,Y,Weather extremes,,,26099952.0,11848613858.442,453.970714522463
MDV,Maldives,ASIA,2016,,,,,,,,,,,,,,,,,,,,443308.0,4409942623.85538,9947.80744731739
MEX,Mexico,LAC,2016,,,,,,,,,,,,,,,,,,,,122251351.0,1112233497452.7,9097.92397674769
